Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,NumVotes,Release Date,Directors
17,tt3382518,11/29/2017,11/29/2017,,Wolfenstein: The New Order,"https://m.media-amazon.com/images/M/MV5BNTU5MTczMjUtNDVhYy00NTkwLTg0MjYtY2FiMTBkNzIzYzFlXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY209_CR1,0,140,209_AL_.jpg",videoGame,8.3,,2014,"Action, Adventure, Drama, Sci-Fi, War",5365,5/20/2014,Jens Matthies
18,tt4741306,11/29/2017,11/29/2017,,Fallout 4,"https://m.media-amazon.com/images/M/MV5BZDU1MzViNDEtNGNhMC00MDQ2LWI1NzItNzZmYWNlODkxMWZlXkEyXkFqcGdeQXVyNjgyODQ1Mzk@._V1_UY209_CR1,0,140,209_AL_.jpg",videoGame,8.6,,2015,"Action, Adventure, Sci-Fi",12371,11/6/2015,Todd Howard
19,tt3569570,11/29/2017,11/29/2017,,Resident Evil 7 Biohazard,"https://m.media-amazon.com/images/M/MV5BNmZmZGM1NWYtYWUzNC00MWZmLTg2MTYtNDQzYmM3OWQxYmNlXkEyXkFqcGdeQXVyNDAzNzA0MzE@._V1_UY209_CR0,0,140,209_AL_.jpg",videoGame,8.6,,2017,"Action, Horror, Mystery, Sci-Fi, Thriller",7112,1/24/2017,Koushi Nakanishi
20,tt6721356,11/29/2017,11/29/2017,,Destiny 2,"https://m.media-amazon.com/images/M/MV5BYzc1YTVjYTQtMGIyYi00N2E4LWFmMTYtY2IxYTJhYTY0MDBmXkEyXkFqcGdeQXVyNTk5Nzg0MDE@._V1_UY209_CR7,0,140,209_AL_.jpg",videoGame,7.6,,2017,"Action, Adventure, Fantasy, Sci-Fi",3021,9/6/2017,"Luke Smith, Ryan Ellis, Jim McQuillan, Christopher Barrett"
21,tt1799527,11/29/2017,11/29/2017,,Doom,"https://m.media-amazon.com/images/M/MV5BOTJlNWViZDktNDRmNC00NzgxLWI3NDAtMTYxMTNlYTgwODY1XkEyXkFqcGdeQXVyMTI0MzA4NTgw._V1_UY209_CR3,0,140,209_AL_.jpg",videoGame,8.5,,2016,"Action, Horror, Sci-Fi",5660,5/13/2016,Marty Stratton
22,tt6967966,11/29/2017,11/29/2017,,Far Cry 5,"https://m.media-amazon.com/images/M/MV5BYmQwYmNmZTEtMDE4NC00MGIzLTkxMmEtNjhiN2IwZWUzYWViXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY209_CR9,0,140,209_AL_.jpg",videoGame,8,,2018,"Action, Adventure, Crime, Drama, Thriller, Western",6414,3/27/2018,Patrick Methe
23,tt3742988,11/29/2017,11/29/2017,,Far Cry 4,"https://m.media-amazon.com/images/M/MV5BOTNjYjkyZTktN2M1ZS00ZmJhLWFiYTktYWQ0ZGQyNDUzYzgxXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UY209_CR18,0,140,209_AL_.jpg",videoGame,8.1,,2014,"Action, Adventure",9314,11/18/2014,Patrick Methe
24,tt4614906,11/29/2017,11/29/2017,,Deus Ex: Mankind Divided,"https://m.media-amazon.com/images/M/MV5BZmVhNWM0NDItODI0ZC00ZDhkLTg0ZjYtY2E4NGY2NzNjMjhiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",videoGame,7.9,,2016,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",1951,8/23/2016,"Blade Zavier, Kazuyuki Ikumori, Jean-François Dugas"
25,tt2995858,11/29/2017,11/29/2017,,Hitman,"https://m.media-amazon.com/images/M/MV5BMzQ5MzM2ZjMtODVjZS00Y2M1LThlZjItNTIwOGU4ODAyZDU2XkEyXkFqcGdeQXVyNDc4OTY4MzQ@._V1_UY209_CR8,0,140,209_AL_.jpg",videoGame,8.1,,2016,"Action, Crime, Mystery, Thriller",2590,3/11/2016,"Christian Elverdam, Jacob Mikkelsen, Ryan Barnard"
26,tt7025920,11/29/2017,11/29/2017,,Assassin's Creed: Origins,"https://m.media-amazon.com/images/M/MV5BNzk5ZDMzYzQtODIzMS00MmJkLWI5NjUtMDg5N2EyZjM1NjU5XkEyXkFqcGdeQXVyNzc0MDY4Mzc@._V1_UY209_CR12,0,140,209_AL_.jpg",videoGame,8.5,,2017,"Action, Adventure, Fantasy, History, Sci-Fi",7327,10/27/2017,"Ashraf Ismail, Laurent Bernier, Jean Guesdon"
